Event	Time	Queue	Clock
send 7	1678247502.91063	0	1
receive	1678247503.411253	0	4
receive	1678247503.911684	0	6
receive	1678247504.4132748	0	9
receive	1678247504.9154	0	11
receive	1678247505.420053	0	13
send 10	1678247505.920463	0	14
send 8	1678247506.422847	0	15
receive	1678247506.9267929	0	19
send 9	1678247507.431019	0	20
receive	1678247507.935148	2	25
receive	1678247508.438825	1	26
receive	1678247509.446933	0	31
receive	1678247509.951763	0	33
receive	1678247510.452309	0	36
receive	1678247510.954675	0	38
receive	1678247511.458436	0	39
send 4	1678247511.962698	0	40
send 7	1678247512.463094	0	41
send 4	1678247512.966818	0	42
send 4	1678247513.471443	0	43
receive	1678247513.974846	1	51
receive	1678247514.475617	1	53
receive	1678247514.977417	1	54
receive	1678247515.477717	0	57
receive	1678247515.9820669	0	61
receive	1678247516.484803	0	63
receive	1678247516.988022	2	65
receive	1678247517.995462	1	67
receive	1678247518.495872	1	70
receive	1678247518.998113	0	73
send 3	1678247519.4987679	0	74
receive	1678247520.003232	0	79
receive	1678247520.508384	1	80
receive	1678247521.008747	1	81
receive	1678247521.51356	0	83
send 1	1678247522.0157309	0	84
receive	1678247522.519864	0	88
receive	1678247523.022768	0	91
receive	1678247523.527238	0	94
receive	1678247524.029498	0	96
receive	1678247524.5300632	0	98
receive	1678247525.032898	0	100
receive	1678247525.5369768	0	102
receive	1678247526.040908	0	104
send 1	1678247526.5451782	0	105
send 10	1678247527.046885	0	106
receive	1678247527.547373	1	112
receive	1678247528.052063	0	113
receive	1678247528.552373	0	118
receive	1678247529.052717	0	119
receive	1678247529.554017	0	121
receive	1678247530.059587	1	123
receive	1678247530.565432	2	124
receive	1678247531.067115	1	125
receive	1678247531.5706	1	126
receive	1678247532.0755122	0	131
send 2	1678247532.5761468	0	132
receive	1678247533.0790882	0	138
send 2	1678247533.582185	0	139
send 2	1678247534.084265	0	140
receive	1678247534.587648	1	145
receive	1678247535.0922172	0	147
receive	1678247535.595428	0	152
send 6	1678247536.097284	0	153
send 7	1678247536.5990348	0	154
receive	1678247537.099453	2	158
receive	1678247538.108313	1	159
receive	1678247538.608671	1	162
receive	1678247539.113662	0	165
receive	1678247539.614207	0	169
receive	1678247540.11769	0	172
receive	1678247540.618551	0	174
receive	1678247541.120704	1	176
receive	1678247541.623005	1	177
receive	1678247542.1235359	0	179
receive	1678247542.624025	0	183
receive	1678247543.125827	0	186
receive	1678247543.626453	0	188
send 3	1678247544.126799	0	189
receive	1678247544.6332538	0	192
receive	1678247545.142976	0	195
receive	1678247545.644533	0	197
receive	1678247546.145034	0	199
receive	1678247546.645451	1	201
receive	1678247547.1460211	1	202
receive	1678247547.651406	0	204
send 3	1678247548.155261	0	205
send 3	1678247548.6584299	0	206
receive	1678247549.1630871	1	212
receive	1678247550.165469	0	215
receive	1678247550.668579	0	218
send 10	1678247551.172516	0	219
send 8	1678247551.674357	0	220
send 9	1678247552.176097	0	221
send 2	1678247552.6784608	0	222
send 6	1678247553.182015	0	223
receive	1678247553.685997	0	232
receive	1678247554.1874292	0	235
send 3	1678247554.691884	0	236
send 4	1678247555.192512	0	237
send 4	1678247555.693322	0	238
receive	1678247556.197796	0	243
receive	1678247556.7146492	0	246
receive	1678247557.216419	0	247
receive	1678247557.731494	0	250
receive	1678247558.2321012	0	253
receive	1678247558.7327008	1	254
receive	1678247559.2332108	2	255
receive	1678247559.734645	3	257
receive	1678247560.235135	2	258
receive	1678247561.241824	2	259
receive	1678247561.742672	1	264
receive	1678247562.24596	1	265
