Event	Time	Queue	Clock	Time
send 7	1678076840	0	1	1678076840
send 9	1678076841	0	2	1678076841
send 3	1678076842	3	3	1678076842
send 2	1678076843	1	4	1678076843
receive	1678076844	0	19	1678076844
receive	1678076847	5	26	1678076847
send 7	1678076848	0	27	1678076848
receive	1678076849	0	30	1678076849
send 1	1678076850	0	31	1678076850
receive	1678076851	0	42	1678076851
receive	1678076852	5	46	1678076852
send 1	1678076853	0	47	1678076853
receive	1678076854	4	51	1678076854
send 4	1678076855	0	52	1678076855
send 1	1678076856	0	53	1678076856
send 7	1678076857	0	54	1678076857
send 3	1678076858	0	55	1678076858
receive	1678076859	0	61	1678076859
send 3	1678076860	4	62	1678076860
send 9	1678076861	0	63	1678076861
send 1	1678076862	0	64	1678076862
receive	1678076863	4	78	1678076863
receive	1678076864	2	79	1678076864
send 3	1678076865	4	80	1678076865
receive	1678076866	5	85	1678076866
send 7	1678076867	0	86	1678076867
send 8	1678076868	0	87	1678076868
receive	1678076869	0	92	1678076869
send 10	1678076870	0	93	1678076870
send 8	1678076871	0	94	1678076871
send 9	1678076872	0	95	1678076872
send 10	1678076873	0	96	1678076873
send 6	1678076874	0	97	1678076874
send 8	1678076875	0	98	1678076875
send 6	1678076876	0	99	1678076876
send 3	1678076877	4	100	1678076877
receive	1678076878	5	112	1678076878
send 5	1678076879	0	113	1678076879
receive	1678076880	0	119	1678076880
receive	1678076881	0	120	1678076881
receive	1678076882	0	122	1678076882
send 10	1678076883	0	123	1678076883
send 7	1678076884	0	124	1678076884
send 8	1678076885	0	125	1678076885
receive	1678076886	0	140	1678076886
send 1	1678076887	0	141	1678076887
receive	1678076888	2	142	1678076888
receive	1678076889	3	147	1678076889
receive	1678076890	4	150	1678076890
send 8	1678076891	0	151	1678076891
send 3	1678076892	4	152	1678076892
send 8	1678076893	0	153	1678076893
send 2	1678076894	1	154	1678076894
receive	1678076895	0	164	1678076895
send 10	1678076896	0	165	1678076896
receive	1678076897	0	175	1678076897
receive	1678076898	4	179	1678076898
receive	1678076899	2	180	1678076899
receive	1678076900	3	183	1678076900
send 2	1678076901	1	184	1678076901
