Event	Time	Queue	Clock
send 6	1678077155.733703	0	1
send 1	1678077155.943378	1	2
send 5	1678077156.146718	0	3
send 6	1678077156.5478761	0	4
send 9	1678077156.7482529	0	5
send 2	1678077156.9535842	0	6
send 2	1678077157.766672	0	7
send 4	1678077157.967298	0	8
send 1	1678077158.1706262	1	9
send 7	1678077158.3710341	0	10
send 5	1678077158.571326	0	11
send 10	1678077158.7749288	0	12
send 5	1678077158.9772139	0	13
receive	1678077160.194943	5	14
send 2	1678077160.804568	0	15
send 5	1678077161.005365	0	16
send 2	1678077161.206322	0	17
send 1	1678077161.410295	1	18
send 6	1678077161.611552	0	19
send 4	1678077161.812057	0	20
send 1	1678077162.217304	1	21
send 3	1678077162.42015	3	22
send 8	1678077163.229129	0	23
receive	1678077163.4321432	5	24
send 4	1678077164.0387142	0	25
send 1	1678077164.645783	0	26
send 10	1678077165.05149	0	27
send 6	1678077165.6556082	0	28
send 3	1678077165.858468	4	29
send 6	1678077166.465866	0	30
send 9	1678077166.671123	0	31
send 10	1678077166.873137	0	32
send 4	1678077167.2803469	0	33
send 8	1678077167.48528	0	34
send 10	1678077168.294305	0	35
send 2	1678077168.5002382	0	36
receive	1678077168.905907	5	37
send 1	1678077169.518229	1	38
send 2	1678077169.9236171	0	39
send 10	1678077170.127131	0	40
send 5	1678077170.3312058	0	41
send 3	1678077170.738392	4	42
receive	1678077171.547477	0	43
send 9	1678077171.750808	0	44
send 4	1678077171.955352	0	45
receive	1678077172.360648	5	46
receive	1678077172.9692779	0	47
send 5	1678077173.371258	0	48
send 9	1678077173.575878	0	49
send 4	1678077173.777232	0	50
receive	1678077173.977727	0	51
send 2	1678077174.182498	0	52
send 3	1678077174.386806	4	53
send 3	1678077174.9933372	4	54
send 3	1678077175.805707	4	55
receive	1678077176.613132	5	56
send 7	1678077177.222553	0	57
send 5	1678077177.4269938	0	58
send 6	1678077177.631558	0	59
send 4	1678077178.4399629	0	60
send 9	1678077178.6433642	0	61
receive	1678077179.0472782	0	62
receive	1678077179.450388	0	63
send 2	1678077179.656014	0	64
send 9	1678077179.8585799	0	65
send 6	1678077180.0597062	0	66
send 8	1678077180.265645	0	67
send 8	1678077180.4673111	0	68
send 1	1678077180.672676	0	69
send 7	1678077180.876906	0	70
receive	1678077181.884949	0	71
send 3	1678077182.089498	4	72
send 7	1678077182.6956632	0	73
send 6	1678077182.898735	0	74
send 5	1678077183.1006222	0	75
send 10	1678077183.906304	0	76
send 10	1678077184.108614	0	77
send 5	1678077184.309501	0	78
send 3	1678077184.510771	4	79
send 3	1678077185.114795	3	80
send 4	1678077185.7269151	0	81
send 4	1678077186.135228	0	82
send 7	1678077186.3378549	0	83
send 9	1678077186.538652	0	84
send 4	1678077186.744315	0	85
send 4	1678077186.949358	0	86
send 3	1678077187.753532	3	87
send 10	1678077188.3652768	0	88
send 5	1678077188.5689752	0	89
send 1	1678077189.382679	1	90
send 6	1678077189.7864919	0	91
send 6	1678077189.9904	0	92
send 9	1678077190.19548	0	93
send 10	1678077190.397349	0	94
send 7	1678077190.6026812	0	95
send 10	1678077191.413988	0	96
send 6	1678077191.6157289	0	97
send 7	1678077191.816609	0	98
send 4	1678077192.623658	0	99
send 9	1678077193.428143	0	100
send 7	1678077193.633217	0	101
send 3	1678077193.839054	4	102
send 6	1678077194.443618	0	103
send 3	1678077194.6445	4	104
send 10	1678077195.2515788	0	105
send 10	1678077195.453247	0	106
send 8	1678077195.6562612	0	107
send 8	1678077195.857002	0	108
send 8	1678077196.05772	0	109
send 2	1678077196.2622879	0	110
send 4	1678077196.464879	0	111
send 7	1678077196.6700091	0	112
send 7	1678077197.272129	0	113
send 9	1678077197.473066	0	114
send 9	1678077197.6776378	0	115
send 2	1678077198.283504	0	116
send 3	1678077198.486702	4	117
send 8	1678077199.2938728	0	118
receive	1678077199.49859	5	119
send 3	1678077200.1029902	4	120
receive	1678077200.911317	0	121
send 1	1678077201.115993	1	122
send 1	1678077201.3203058	1	123
send 5	1678077201.520999	0	124
send 3	1678077201.721756	4	125
receive	1678077202.328612	5	126
send 2	1678077202.933301	0	127
send 5	1678077203.136589	0	128
send 7	1678077203.337439	0	129
send 5	1678077203.541777	0	130
send 10	1678077203.743795	0	131
send 7	1678077203.945367	0	132
send 6	1678077204.965558	0	133
send 3	1678077205.176976	4	134
send 6	1678077205.98105	0	135
send 9	1678077206.181586	0	136
send 9	1678077206.382814	0	137
send 1	1678077206.587297	1	138
receive	1678077206.9891682	0	139
receive	1678077207.193943	0	140
send 8	1678077207.3960252	0	141
send 4	1678077207.6036968	0	142
send 3	1678077207.8091872	3	143
send 2	1678077208.418592	0	144
send 2	1678077208.6205282	0	145
send 4	1678077208.825755	0	146
send 1	1678077209.030418	0	147
send 3	1678077209.231581	4	148
send 7	1678077209.8386629	0	149
send 4	1678077210.039171	0	150
send 7	1678077210.2403789	0	151
send 5	1678077211.050622	0	152
send 2	1678077211.2533739	0	153
send 2	1678077211.660043	0	154
send 1	1678077211.861435	1	155
send 2	1678077212.265416	0	156
receive	1678077212.471092	5	157
send 7	1678077213.072535	0	158
send 9	1678077213.2731562	0	159
send 2	1678077213.473696	0	160
send 2	1678077213.675303	0	161
send 2	1678077213.881098	0	162
send 4	1678077214.2917492	0	163
send 2	1678077214.897589	0	164
send 4	1678077215.30157	0	165
send 9	1678077215.502551	0	166
